Action,Type,Time(s),Time (GMT+0000),Time (GMT+0200),Video time (s),Video time (hh:mm:ss),Application,Activity
"Click on ""Connect (Disconnect from host)"" proposition",Left Click,1712651030.535100,08:23:50,10:23:50,1224,00:20:24,VMWare,Other
"Click on ""OK"" VMware pop-up button",Left Click,1712651032.351130,08:23:52,10:23:52,1226,00:20:26,VMWare,Other
"Click on ""Turn on camera"" icon",Left Click,1712651035.135157,08:23:55,10:23:55,1229,00:20:29,Google Meet,Visioconference
"Click on ""Allow camera"" button",Left Click,1712651036.839149,08:23:56,10:23:56,1231,00:20:31,Google Meet,Visioconference
"Click on ""Allow"" Firefox pop-up button",Left Click,1712651041.119184,08:24:01,10:24:01,1235,00:20:35,Google Meet,Visioconference
"Click on ""Ask to join"" button",Left Click,1712651074.287563,08:24:34,10:24:34,1268,00:21:08,Google Meet,Visioconference
"Click on ""Activities"" Ubuntu button",Left Click,1712651097.831815,08:24:57,10:24:57,1292,00:21:32,Ubuntu,System
"Close ""Activities"" Ubuntu menu",Left Click,1712651107.615886,08:25:07,10:25:07,1301,00:21:41,Ubuntu,System
"Click on ""List all tabs"" Ubuntu button",Left Click,1712651114.087935,08:25:14,10:25:14,1308,00:21:48,Ubuntu,System
"Click on ""Settings"" proposition",Left Click,1712651115.463992,08:25:15,10:25:15,1309,00:21:49,Ubuntu,System
"Click on ""Search"" icon",Left Click,1712651123.608092,08:25:23,10:25:23,1317,00:21:57,Ubuntu,System
"Click on ""Search"" field",Left Click,1712651124.584127,08:25:24,10:25:24,1318,00:21:58,Ubuntu,System
"Click on ""Search"" field",Left Click,1712651146.472326,08:25:46,10:25:46,1340,00:22:20,Ubuntu,System
"Click on ""Sound"" dropdown",Left Click,1712651148.896338,08:25:48,10:25:48,1343,00:22:23,Ubuntu,System
"Select ""Analog Output"" proposition",Left Click,1712651151.992354,08:25:51,10:25:51,1346,00:22:26,Ubuntu,System
"Click on ""Output Device"" proposition",Left Click,1712651152.680392,08:25:52,10:25:52,1346,00:22:26,Ubuntu,System
"Click on ""Test"" button",Left Click,1712651157.448410,08:25:57,10:25:57,1351,00:22:31,Ubuntu,System
"Click on ""Front Right"" button",Left Click,1712651160.576444,08:26:00,10:26:00,1354,00:22:34,Ubuntu,System
"Close ""Testing Analog Output"" window",Left Click,1712651162.784490,08:26:02,10:26:02,1356,00:22:36,Ubuntu,System
"Close ""Settings"" window",Left Click,1712651165.912499,08:26:05,10:26:05,1360,00:22:40,Ubuntu,System
"Click on ""Rejoin""  button",Left Click,1712651181.488673,08:26:21,10:26:21,1375,00:22:55,Google Meet,Visioconference
"Click on ""Your name"" field",Left Click,1712651200.168949,08:26:40,10:26:40,1394,00:23:14,Google Meet,Visioconference
"Click on ""Present"" button",Left Click,1712651207.848950,08:26:47,10:26:47,1402,00:23:22,Google Meet,Visioconference
"Click on ""Allow"" Firefox pop-up button",Left Click,1712651212.929045,08:26:52,10:26:52,1407,00:23:27,Google Meet,Visioconference
"Click on ""Turn on camera"" icon",Left Click,1712651216.361000,08:26:56,10:26:56,1410,00:23:30,Google Meet,Visioconference
Open Thunderbird window,Left Click,1712651225.673106,08:27:05,10:27:05,1419,00:23:39,Thunderbird,Mail
"Click on ""Reply"" button",Left Click,1712651229.121096,08:27:09,10:27:09,1423,00:23:43,Thunderbird,Mail
"Click on ""Send"" button",Left Click,1712651238.593125,08:27:18,10:27:18,1432,00:23:52,Thunderbird,Mail
Minimize Thunderbird window,Left Click,1712651251.105205,08:27:31,10:27:31,1445,00:24:05,Thunderbird,Mail
Open VScode window,Left Click,1712651266.801315,08:27:46,10:27:46,1460,00:24:20,VScode,Development
Drag VScode window,Left Click,1712651269.681331,08:27:49,10:27:49,1463,00:24:23,VScode,Development
"Click on ""New File..."" button",Left Click,1712651274.193314,08:27:54,10:27:54,1468,00:24:28,VScode,Development
Click on Firefox window,Left Click,1712651277.353360,08:27:57,10:27:57,1471,00:24:31,Firefox,Browsing
"Click on ""Turn off camera"" icon",Left Click,1712651280.121376,08:28:00,10:28:00,1474,00:24:34,Google Meet,Visioconference
"Click on ""Open a new tab"" Firefox icon",Left Click,1712651289.337453,08:28:09,10:28:09,1483,00:24:43,Firefox,Browsing
"Search ""linkd"" on Google",ENTER Key,1712651293.777486,08:28:13,10:28:13,1487,00:24:47,Firefox,Browsing
"Click on ""Linkedin"" link",Left Click,1712651296.361457,08:28:16,10:28:16,1490,00:24:50,Firefox,Browsing
"Move to ""Google Meet"" tab",Left Click,1712651303.633499,08:28:23,10:28:23,1497,00:24:57,Firefox,Browsing
"Move to ""Linkedin"" tab",Left Click,1712651311.569547,08:28:31,10:28:31,1505,00:25:05,Firefox,Browsing
"Click on ""Network"" Linkedin button",Left Click,1712651320.825604,08:28:40,10:28:40,1515,00:25:15,Linkedin,Social Network
"Click on ""Ignore"" button",Left Click,1712651326.065636,08:28:46,10:28:46,1520,00:25:20,Linkedin,Social Network
Close Linkedin tab,Left Click,1712651333.377769,08:28:53,10:28:53,1527,00:25:27,Firefox,Browsing
"Click on ""More options"" video icon",Left Click,1712651344.953767,08:29:04,10:29:04,1539,00:25:39,Google Meet,Visioconference
Click on Firefox window,Left Click,1712651346.745774,08:29:06,10:29:06,1540,00:25:40,Google Meet,Visioconference
"Click on ""Back"" Firefox icon",Left Click,1712651349.961844,08:29:09,10:29:09,1544,00:25:44,Google Meet,Visioconference
"Click on ""Back"" Firefox icon",Left Click,1712651351.577800,08:29:11,10:29:11,1545,00:25:45,Google Meet,Visioconference
"Close ""Google Meet"" tab",Left Click,1712651355.793829,08:29:15,10:29:15,1549,00:25:49,Google Meet,Visioconference
Open Thunderbird window,Left Click,1712651361.873894,08:29:21,10:29:21,1556,00:25:56,Thunderbird,Mail
"Click on ""Google Meet"" Thunderbird mail link",Left Click,1712651365.537904,08:29:25,10:29:25,1559,00:25:59,Thunderbird,Mail
"Click on ""Your name"" field",Left Click,1712651374.913958,08:29:34,10:29:34,1569,00:26:09,Google Meet,Visioconference
"Click on ""Allow"" Firefox pop-up button",Left Click,1712651378.642019,08:29:38,10:29:38,1572,00:26:12,Google Meet,Visioconference
"Click on ""Turn off microphone"" icon",Left Click,1712651382.626008,08:29:42,10:29:42,1576,00:26:16,Google Meet,Visioconference
"Click on ""Turn off camera"" icon",Left Click,1712651383.514007,08:29:43,10:29:43,1577,00:26:17,Google Meet,Visioconference
"Click on ""Your name"" field",Left Click,1712651384.634068,08:29:44,10:29:44,1578,00:26:18,Google Meet,Visioconference
"Click on ""Ask to join"" button",Left Click,1712651395.346081,08:29:55,10:29:55,1589,00:26:29,Google Meet,Visioconference
Miss click,Left Click,1712651405.274225,08:30:05,10:30:05,1599,00:26:39,Google Meet,Visioconference
Open Thunderbird window,Left Click,1712651408.618186,08:30:08,10:30:08,1602,00:26:42,Thunderbird,Mail
"Click on ""Google Meet"" Thunderbird mail link",Left Click,1712651410.970236,08:30:10,10:30:10,1605,00:26:45,Thunderbird,Mail
"Close ""Google Meet"" tab",Wheel Click,1712651412.978214,08:30:12,10:30:12,1607,00:26:47,Firefox,Browsing
"Click on ""Allow"" Firefox pop-up button",Left Click,1712651417.346243,08:30:17,10:30:17,1611,00:26:51,Google Meet,Visioconference
"Click on ""Turn off microphone"" icon",Left Click,1712651427.658328,08:30:27,10:30:27,1621,00:27:01,Google Meet,Visioconference
"Click on ""Turn off camera"" icon",Left Click,1712651428.306327,08:30:28,10:30:28,1622,00:27:02,Google Meet,Visioconference
"Click on ""Got it"" Google Meet pop-up",Left Click,1712651437.122416,08:30:37,10:30:37,1631,00:27:11,Google Meet,Visioconference
"Click on ""Sign in"" button",Left Click,1712651441.642470,08:30:41,10:30:41,1635,00:27:15,Google Meet,Visioconference
"Click on ""Email or phone"" field",Left Click,1712651449.578579,08:30:49,10:30:49,1643,00:27:23,Google Meet,Visioconference
Miss click,Left Click,1712651452.410541,08:30:52,10:30:52,1646,00:27:26,Google Meet,Visioconference
Miss click,Left Click,1712651464.770595,08:31:04,10:31:04,1658,00:27:38,Google Meet,Visioconference
Open VScode window,Left Click,1712651472.090636,08:31:12,10:31:12,1666,00:27:46,VScode,Development
Click on Firefox window,Left Click,1712651477.162665,08:31:17,10:31:17,1671,00:27:51,Firefox,Browsing
Click on Firefox url bar,Left Click,1712651477.666709,08:31:17,10:31:17,1671,00:27:51,Firefox,Browsing
"Search ""vscode learn python"" on Google",ENTER Key,1712651483.946795,08:31:23,10:31:23,1678,00:27:58,Firefox,Browsing
"Open ""Python Tutorial for Beginners with VS Code"" Youtube video",Left Click,1712651490.274850,08:31:30,10:31:30,1684,00:28:04,Firefox,Browsing
Start Youtube video,Left Click,1712651496.642807,08:31:36,10:31:36,1690,00:28:10,Youtube,Streaming
"Click on ""Skip"" button",Left Click,1712651505.290867,08:31:45,10:31:45,1699,00:28:19,Youtube,Streaming
"Click on ""No thanks"" Youtube pop-up button",Left Click,1712651513.378931,08:31:53,10:31:53,1707,00:28:27,Youtube,Streaming
Move forward video to 3:01,Left Click,1712651534.467096,08:32:14,10:32:14,1728,00:28:48,Youtube,Streaming
Open VScode window,Left Click,1712651548.763205,08:32:28,10:32:28,1742,00:29:02,Youtube_VScode,Streaming_Development
Drag VScode window,Left Click,1712651553.579274,08:32:33,10:32:33,1747,00:29:07,Youtube_VScode,Streaming_Development
"Close VScode ""Welcome"" tab",Left Click,1712651556.179258,08:32:36,10:32:36,1750,00:29:10,Youtube_VScode,Streaming_Development
"Click on ""Extensions"" icon",Left Click,1712651559.099283,08:32:39,10:32:39,1753,00:29:13,Youtube_VScode,Streaming_Development
Drag VScode window,Left Click,1712651563.667318,08:32:43,10:32:43,1757,00:29:17,Youtube_VScode,Streaming_Development
Click on VScode search bar,Left Click,1712651565.763339,08:32:45,10:32:45,1759,00:29:19,Youtube_VScode,Streaming_Development
Click on python proposition,Left Click,1712651589.667524,08:33:09,10:33:09,1783,00:29:43,Youtube_VScode,Streaming_Development
Drag VScode window,Left Click,1712651593.787556,08:33:13,10:33:13,1787,00:29:47,Youtube_VScode,Streaming_Development
"Click on ""Install"" button",Left Click,1712651600.499609,08:33:20,10:33:20,1794,00:29:54,Youtube_VScode,Streaming_Development
Drag VScode window,Left Click,1712651608.971675,08:33:28,10:33:28,1803,00:30:03,Youtube_VScode,Streaming_Development
Drag VScode window,Left Click,1712651616.323736,08:33:36,10:33:36,1810,00:30:10,Youtube_VScode,Streaming_Development
Drag VScode window,Left Click,1712651621.475784,08:33:41,10:33:41,1815,00:30:15,Youtube_VScode,Streaming_Development
Click on VScode window,Left Click,1712651622.859790,08:33:42,10:33:42,1817,00:30:17,Youtube_VScode,Streaming_Development
Click on VScode search bar,Left Click,1712651629.003842,08:33:49,10:33:49,1823,00:30:23,Youtube_VScode,Streaming_Development
"Click on ""Pause"" Youtube video button",Left Click,1712651649.436021,08:34:09,10:34:09,1843,00:30:43,Youtube_VScode,Streaming_Development
Open VScode window,Left Click,1712651651.204024,08:34:11,10:34:11,1845,00:30:45,VScode,Development
Open Thunderbird window,Left Click,1712651652.020027,08:34:12,10:34:12,1846,00:30:46,Thunderbird,Mail
Minimize Thunderbird window,Left Click,1712651654.236046,08:34:14,10:34:14,1848,00:30:48,Thunderbird,Mail
Drag VScode window,Left Click,1712651657.076069,08:34:17,10:34:17,1851,00:30:51,VScode,Development
"Click on ""Refresh Extensions: Marketplace"" VScode icon",Left Click,1712651664.188124,08:34:24,10:34:24,1858,00:30:58,VScode,Development
Drag VScode window,Left Click,1712651667.468156,08:34:27,10:34:27,1861,00:31:01,VScode,Development
"Close ""Welcome"" VScode tab",Left Click,1712651686.444383,08:34:46,10:34:46,1880,00:31:20,VScode,Development
